country,industry,ai_tool,adoption_rate,daily_active_users,year,age_group,company_size
USA,Technology,ChatGPT,40.45,2461,2023,35-44,Startup
France,Manufacturing,Midjourney,35.72,8496,2024,18-24,Enterprise
Australia,Transportation,ChatGPT,13.47,8641,2024,45-54,Startup
UK,Manufacturing,ChatGPT,48.46,3488,2023,45-54,Enterprise
UK,Agriculture,Stable Diffusion,34.06,1124,2024,45-54,SME
Brazil,Education,Midjourney,64.54,3267,2024,55+,Startup
USA,Healthcare,Bard,81.83,4265,2023,35-44,Enterprise
Australia,Education,ChatGPT,20.85,5940,2023,25-34,Enterprise
China,Retail,Midjourney,39.9,613,2024,55+,SME
USA,Agriculture,Midjourney,20.53,8310,2023,35-44,Startup
Canada,Education,Midjourney,24.1,7182,2024,55+,Startup
South Korea,Technology,Midjourney,58.21,4012,2024,18-24,SME
France,Manufacturing,Midjourney,92.16,8924,2023,25-34,SME
France,Finance,ChatGPT,37.56,8903,2024,55+,SME
France,Agriculture,Midjourney,48.32,9190,2024,45-54,Startup
France,Education,ChatGPT,26.86,3331,2023,25-34,Startup
Canada,Manufacturing,Midjourney,9.5,2559,2024,25-34,Startup
India,Agriculture,ChatGPT,59.62,2780,2024,35-44,Enterprise
Brazil,Manufacturing,ChatGPT,4.33,7327,2024,25-34,Startup
UK,Education,Stable Diffusion,9.23,4662,2024,25-34,SME
Canada,Finance,Midjourney,73.16,1549,2023,18-24,Startup
Germany,Technology,Stable Diffusion,4.53,1692,2024,55+,Enterprise
India,Healthcare,Stable Diffusion,13.86,9872,2023,35-44,Startup
South Korea,Technology,ChatGPT,1.88,7488,2023,55+,SME
France,Healthcare,ChatGPT,86.2,3956,2024,45-54,Startup
Australia,Technology,ChatGPT,96.13,4229,2023,18-24,Enterprise
UK,Retail,Midjourney,90.17,9935,2024,18-24,Startup
Brazil,Manufacturing,ChatGPT,41.72,2161,2024,35-44,SME
Canada,Agriculture,ChatGPT,34.22,4150,2023,55+,Startup
UK,Manufacturing,Midjourney,1.12,6263,2023,35-44,Enterprise
UK,Finance,Midjourney,5.43,6161,2023,55+,Startup
China,Healthcare,Stable Diffusion,89.52,4669,2024,35-44,Enterprise
USA,Technology,ChatGPT,95.3,2456,2024,18-24,SME
Canada,Healthcare,ChatGPT,65.78,7357,2024,25-34,Enterprise
Brazil,Manufacturing,Midjourney,95.66,5085,2023,45-54,Enterprise
USA,Transportation,Midjourney,52.81,2258,2024,25-34,Startup
Brazil,Finance,ChatGPT,8.1,3917,2024,18-24,Startup
Brazil,Manufacturing,ChatGPT,19.9,7679,2023,55+,Startup
China,Finance,ChatGPT,50.83,5523,2024,55+,Enterprise
Australia,Agriculture,Claude,14.49,4911,2024,25-34,Enterprise
India,Technology,Midjourney,5.46,6096,2023,18-24,Enterprise
France,Finance,ChatGPT,4.54,6853,2024,45-54,Enterprise
France,Transportation,Midjourney,12.34,2306,2023,25-34,Enterprise
Germany,Education,ChatGPT,65.08,221,2023,55+,Enterprise
USA,Agriculture,Midjourney,74.71,7436,2023,45-54,Enterprise
South Korea,Finance,Bard,43.41,3299,2024,45-54,Startup
UK,Agriculture,Midjourney,90.33,8080,2024,35-44,SME
Brazil,Healthcare,Midjourney,49.02,8980,2024,45-54,Startup
Australia,Education,ChatGPT,50.93,3143,2024,25-34,SME
France,Education,Midjourney,68.34,8989,2024,35-44,Startup
France,Transportation,ChatGPT,28.96,3910,2024,18-24,Enterprise
India,Technology,Midjourney,89.45,6536,2024,25-34,SME
Germany,Transportation,Midjourney,99.83,5554,2024,35-44,Enterprise
UK,Transportation,ChatGPT,81.67,2556,2024,18-24,SME
UK,Finance,Claude,55.88,4696,2023,18-24,Startup
USA,Education,ChatGPT,82.44,3064,2024,18-24,Startup
Canada,Retail,ChatGPT,71.19,8961,2023,35-44,Enterprise
India,Technology,Bard,1.16,2664,2024,35-44,Enterprise
France,Finance,Claude,37.84,7172,2023,45-54,Startup
Australia,Education,Bard,23.5,7360,2024,35-44,Startup
South Korea,Agriculture,Stable Diffusion,16.69,4425,2024,55+,Enterprise
France,Agriculture,ChatGPT,35.39,2521,2023,18-24,SME
Germany,Manufacturing,ChatGPT,44.96,1482,2023,25-34,Startup
South Korea,Transportation,ChatGPT,66.44,1874,2023,25-34,Startup
UK,Transportation,Stable Diffusion,9.32,9600,2023,55+,SME
Germany,Technology,Claude,52.32,9718,2023,25-34,SME
South Korea,Manufacturing,Stable Diffusion,44.29,7019,2024,55+,Enterprise
Germany,Transportation,Bard,96.06,3675,2024,55+,Startup
USA,Finance,ChatGPT,93.16,3877,2024,18-24,Enterprise
UK,Finance,ChatGPT,13.89,860,2023,45-54,Startup
France,Finance,Midjourney,53.34,2075,2023,18-24,Startup
India,Retail,Midjourney,66.53,5382,2024,25-34,SME
UK,Education,Midjourney,96.67,5212,2024,55+,SME
India,Agriculture,ChatGPT,65.04,4169,2024,45-54,SME
Australia,Finance,Midjourney,7.07,1171,2024,18-24,SME
UK,Transportation,ChatGPT,68.24,1165,2024,18-24,Startup
Germany,Finance,ChatGPT,71.07,2747,2023,25-34,SME
China,Education,Midjourney,9.69,2930,2024,55+,SME
Canada,Agriculture,Midjourney,56.03,3897,2024,55+,Enterprise
Australia,Agriculture,Midjourney,59.1,8722,2024,35-44,Startup
South Korea,Finance,ChatGPT,91.02,5602,2024,55+,Enterprise
UK,Retail,Bard,1.49,7236,2023,55+,Startup
India,Education,ChatGPT,92.43,4281,2024,55+,SME
Brazil,Finance,Claude,52.07,4722,2024,45-54,SME
Australia,Finance,Stable Diffusion,6.76,7881,2024,45-54,Startup
France,Agriculture,ChatGPT,2.95,5775,2024,25-34,Enterprise
